key,description,en,zh,fr,pt,pl,ua
resource_generator_max_flavor:FOREST,[EMPTY],,,,,,
resource_generator_max_flavor:WILD,[EMPTY],,,,,,
resource_generator_max_flavor:axe,button on hover infobox description (after crafting it),Something wails amongst the trees.,林中传来哀嚎。,Une plainte s’élève parmi les arbres.,Algo chora entre as árvores.,Coś szlocha i wyje między pniami.,
resource_generator_max_flavor:brick,[EMPTY],,,,,,
resource_generator_max_flavor:clay,[EMPTY],,,,,,
resource_generator_max_flavor:coal,[EMPTY],,,,,,
resource_generator_max_flavor:common,[EMPTY],,,,,,
resource_generator_max_flavor:compass,button on hover infobox description (after crafting it),Navigate past the forest... Into further darkness,穿过森林... 进入更深的黑暗,Naviguez au travers des bois... Enfoncez vous dans les ténèbres.,Navegue além da floresta... Para uma escuridão ainda maior.,Nawiguj poza las... Prosto do większej ciemności,
resource_generator_max_flavor:beacon,button on hover infobox description (after crafting it),"Emitting radiant light, it cuts through the gloom. Seems to unveil the forbidden parts of the forest...",发出的光芒穿透了阴霾。似乎揭示了森林的禁地...,Il fend l’obscurité en émettant une lumière diffuse. Les recoins défendus de la forêt s’ouvrent à vous...,"Emitindo uma luz radiante, ele atravessa o escuro. Parece revelar as partes proibidas da floresta...","Niebiańskim światłem przecina mrok, odsłaniając zakazane części lasu...",
resource_generator_max_flavor:soul,button on hover infobox description (after crafting it),I am... ready to be reborn.,我...已准备好重生。,Je suis... prêt à me réincarner.,Eu estou... pronto para renascer.,Czas... odrodzić się na nowo.,
resource_generator_max_flavor:experience,[EMPTY],,,,,,
resource_generator_max_flavor:fiber,[EMPTY],,,,,,
resource_generator_max_flavor:firepit,button on hover infobox description (after crafting it),"It burns nice and warm, a light in the darkness.",火焰温暖地燃烧着，在黑暗中闪耀着光芒。,"Une lumière à la chaleur réconfortante, brillant dans l’obscurité.","Queima com um conforto quente, uma luz na escuridão.","Gorące płomienie iskrzą mile, budząc światło wśród mroku.",
resource_generator_max_flavor:flint,[EMPTY],,,,,,
resource_generator_max_flavor:food,[EMPTY],,,,,,
resource_generator_max_flavor:fur,[EMPTY],,,,,,
resource_generator_max_flavor:house,[EMPTY],,,,,,
resource_generator_max_flavor:iron,[EMPTY],,,,,,
resource_generator_max_flavor:iron_ore,[EMPTY],,,,,,
resource_generator_max_flavor:land,[EMPTY],,,,,,
resource_generator_max_flavor:leather,[EMPTY],,,,,,
resource_generator_max_flavor:null,[EMPTY],,,,,,
resource_generator_max_flavor:pickaxe,button on hover infobox description (after crafting it),Do not dig too deep. They who dwell below won't be happy.,别挖得太深。地底下的居民可不会高兴。,Ne creusez pas trop profondément. Les habitants des profondeurs n’apprécieraient pas.,Não cave tão fundo. Aqueles que moram em baixo não ficarão contentes.,"Nie kop za głęboko. Ci, którzy bytują tam, nie będą zadowoleni.",
resource_generator_max_flavor:power,[EMPTY],,,,,,
resource_generator_max_flavor:rare,[EMPTY],,,,,,
resource_generator_max_flavor:shovel,[EMPTY],,,,,,
resource_generator_max_flavor:spear,button on hover infobox description (after crafting it),"It is dangerous to go alone, take this.",独自前行很危险，带上这个吧。,C’est dangereux de partir seul ! Prenez ça.,"É perigoso ir sozinho, leve isto.","Niebezpiecznie iść samemu, bierz to.",
resource_generator_max_flavor:stone,[EMPTY],,,,,,
resource_generator_max_flavor:sword,[EMPTY],,,,,,
resource_generator_max_flavor:swordsman,[EMPTY],,,,,,
resource_generator_max_flavor:torch,[EMPTY],,,,,,
resource_generator_max_flavor:wood,[EMPTY],,,,,,
resource_generator_max_flavor:worker,[EMPTY],,,,,,
resource_generator_display_name:CREEK,[noun] an in-game resource,Creek,小溪,Ruisseau,Riacho,Strumyk,
resource_generator_display_name:FOREST,[noun] an in-game resource,Forest,森林,Forêt,Floresta,Las,
resource_generator_display_name:WILD,[noun] an in-game resource,Wild,荒野,Étendues sauvages,Selva,Dzicz,
resource_generator_display_name:axe,[noun] an in-game resource,Axe,斧头,Hache,Machado,Siekiera,
resource_generator_display_name:brick,[noun] an in-game resource,Brick,砖块,Brique,Tijolo,Cegła,
resource_generator_display_name:clay,[noun] an in-game resource,Clay,粘土,Argile,Argila,Glina,
resource_generator_display_name:coal,[noun] an in-game resource,Coal,煤炭,Charbon,Carvão,Węgiel,
resource_generator_display_name:common,[DEPRECATED],Common,普通,Commun,,,
resource_generator_display_name:compass,[noun] an in-game resource,Compass,指南针,Boussole,Bússola,Kompas,
resource_generator_display_name:experience,[noun] an in-game resource,Experience,经验值,Expérience,Experiência,Doświadczenie,
resource_generator_display_name:fiber,[noun] an in-game resource,Fiber,纤维,Fibre,Fibra,Włókno,
resource_generator_display_name:firepit,[noun] an in-game resource,Firepit,火堆,Feu de camp,Fogueira,Obozowisko,
resource_generator_display_name:flint,[noun] an in-game resource,Flint,燧石,Silex,Sílex,Krzemień,
resource_generator_display_name:food,[noun] an in-game resource,Food,食物,Nourriture,Comida,Żywność,
resource_generator_display_name:fur,[noun] an in-game resource,Fur,皮毛,Fourrure,Pele,Futro,
resource_generator_display_name:house,[noun] an in-game resource,House,房屋,Maison,Casa,Dom,
resource_generator_display_name:iron,[noun] an in-game resource,Iron,铁锭,Fer,Ferro,Żelazo,
resource_generator_display_name:iron_ore,[noun] an in-game resource,Iron Ore,铁矿石,Minerai de fer,Minério de Ferro,Ruda żelaza,
resource_generator_display_name:land,[noun] an in-game resource,Land,土地,Territoires,Terreno,Ziemia,
resource_generator_display_name:leather,[noun] an in-game resource,Leather,皮革,Cuir,Couro,Skóra,
resource_generator_display_name:null,[DEPRECATED],Null,空,Null,,,
resource_generator_display_name:pickaxe,[noun] an in-game resource,Pickaxe,镐子,Pioche,Picareta,Kilof,
resource_generator_display_name:power,[noun] an in-game resource,Power,能量,Pouvoir,Poder,Potęga,
resource_generator_display_name:rare,[DEPRECATED],Rare,稀有,Rare,,,
resource_generator_display_name:shovel,[noun] an in-game resource,Shovel,铲子,Pelle,Pá,Łopata,
resource_generator_display_name:spear,[noun] an in-game resource,Spear,长矛,Lance,Lança,Włócznia,
resource_generator_display_name:stone,[noun] an in-game resource,Stone,石头,Pierre,Pedra,Kamień,
resource_generator_display_name:sword,[noun] an in-game resource,Sword,剑,Épée,Espada,Szabla,
resource_generator_display_name:swordsman,[noun] an in-game resource,Swordsman,剑士,Soldat,Espadachim,Szablownik,
resource_generator_display_name:torch,[noun] an in-game resource,Torch,火把,Torche,Tocha,Pochodnia,
resource_generator_display_name:wood,[noun] an in-game resource,Wood,木材,Bois,Madeira,Drewno,
resource_generator_display_name:worker,[noun] an in-game resource,Peasant,农民,Paysan,Camponês,Chłop,
resource_generator_display_name:soulstone,[noun] an in-game resource,Soulstone,灵魂石,Pierre d’âme,Pedra da Alma,Kamień dusz,
resource_generator_display_name:singularity,[noun] an in-game resource,Singularity,奇点,Singularité,Singularidade,Osobliwość,
resource_generator_display_name:soul,[noun] an in-game resource,Soul,灵魂,Âme,Alma,Dusza,
worker_role_title:clay_digger,work profession / in-game job category,Clay Digger,挖粘土工,Mineur d’argile,Cavador de Argila,Kopacz gliny,
worker_role_title:coal_miner,work profession / in-game job category,Coal Miner,煤矿工,Houilleur,Minerador de Carvão,Górnik węgla,
worker_role_title:experience,work profession / in-game job category,Experience,经验,Expérience,Experiência,Doświadczenie,
worker_role_title:explorer,work profession / in-game job category,Explorer,探险家,Explorateur,Explorador,Odkrywca,
worker_role_title:explorerer,[DEPRECATED],Explorerer,探险家,,,,
worker_role_title:hunter,work profession / in-game job category,Hunter,猎人,Chasseur,Caçador,Łowca,
worker_role_title:iron_miner,work profession / in-game job category,Iron Miner,铁矿工,Piqueur de fer,Minerador de Ferro,Górnik żelaza,
worker_role_title:iron_smelter,work profession / in-game job category,Iron Smelter,炼铁工,Fondeur,Fundidor de Ferro,Hutnik żelaza,
worker_role_title:lumberjack,work profession / in-game job category,Lumberjack,伐木工,Bucheron,Lenhador,Drwal,
worker_role_title:mason,work profession / in-game job category,Mason,石匠,Maçon,Pedreiro,Mason,
worker_role_title:recruiter,[DEPRECATED],Recruiter,招募官,Recruteur,,,
worker_role_title:sergeant,work profession / in-game job category,Sergeant,军士长,Sergent,Sargento,Sierżant,
worker_role_title:smelter,work profession / in-game job category,Clay Baker,陶土烘焙师,Briquetier,Queimador de Argila,Wypiekacz gliny,
worker_role_title:stone_miner,work profession / in-game job category,Stone Miner,采石工,Tailleur de pierre,Minerador de Pedra,Górnik kamienia,
worker_role_title:swordsman,work profession / in-game job category,Swordsman,剑士,Soldat,Espadachim,Szablista,
worker_role_title:swordsmith,work profession / in-game job category,Swordsmith,铸剑师,Forgeron,Ferreiro,Kowal szabli,
worker_role_title:tailor,[DEPRECATED],Tailor,裁缝,Tailleur,,,
worker_role_title:tanner,work profession / in-game job category,Tanner,制革工,Tanneur,Curtidor,Garbarz,
worker_role_title:torch_man,work profession / in-game job category,Torch Man,火把手,Maître des torches,Portador da Tocha,Wytwórca pochodni,
worker_role_title:wanderer,[DEPRECATED],Wanderer,流浪者,Vagabond,,,
worker_role_title:worker,work profession / in-game job category,Peasant,农民,Paysan,Camponês,Chłop,
worker_role_flavor:clay_digger,on hover infobox description,"The muddy lake keeps her secrets, for now.",泥泞的湖泊暂时保守着她的秘密。,"Le lac vaseux garde ses secrets, pour l’instant.","O lago lamacento guarda seus segredos, por enquanto.",Błotniste jezioro chowa swe tajemnice... Póki może.,
worker_role_flavor:coal_miner,on hover infobox description,It takes a keen eye to spot some surface coal ore.,发现表层煤矿需要敏锐的眼力。,Dénicher du charbon en surface demande un œil aguerri.,É preciso um olhar atento para encontrar algum minério de carvão na superfície.,"Trzeba wyszkolonego oka, aby odkryć złoża węgla blisko powierzchni.",
worker_role_flavor:experience,[EMPTY],,,,,,
worker_role_flavor:explorer,on hover infobox description,"The journey is long, but they know the way.",旅途漫长，但他们知道前行的道路。,"Le périple est long, mais ils connaissent la route.","A jornada é longa, mas eles sabem o caminho.",Podróż jest droga. Przynajmniej znają drogę.,
worker_role_flavor:explorerer,[EMPTY],,,,,,
worker_role_flavor:hunter,on hover infobox description,"Will keep the food, but pay you back in fur.",会吃掉食物，但用皮毛来偿还你。,Ils troquent leurs fourrures contre de la nourriture.,"Ficarão com a comida, mas pagarão com peles.","Zachowa żywność dla siebie, ale odpłaci się futrami.",
worker_role_flavor:iron_miner,on hover infobox description,Deep down in the caverns are sparkly rocks.,洞穴深处有闪闪发光的岩石。,Dans les profondeurs de ces cavernes se trouvent des pierres scintillantes.,No fundo das cavernas há pedras brilhantes.,Głęboko w jaskiniach znajdują się gwieździste kamienie.,
worker_role_flavor:iron_smelter,on hover infobox description,Just provide materials and a small fur payment.,只需你支付材料和少量皮毛。,Procurez-nous juste les matériaux et quelques fourrures en guise de paiement.,Basta fornecer materiais e um pequeno pagamento em peles.,Ino daj materiały i drobną opłatę z futr.,
worker_role_flavor:lumberjack,on hover infobox description,The big trees will not clear themselves.,大树不会自己成为木材。,Ces gros arbres ne s’abattront pas d’eux-mêmes,As árvores não irão se derrubar sozinhas.,Pradawne dęby nie wytną się same.,
worker_role_flavor:mason,on hover infobox description,Skilled craftsmen.,技艺高超的工匠。,Des artisans expérimentés.,Artesões experientes.,Mistrzowscy rzemieślnicy.,
worker_role_flavor:recruiter,[EMPTY],,,,,,
worker_role_flavor:sergeant,on hover infobox description,Say couple fur is fair for my expertise.,几片皮毛买我的技术，一点不亏。,"Disons, quelques fourrures ? C’est un prix raisonnable pour mon savoir-faire.",Diz que um pouco de pele é justo pela sua experiência.,"""Kilka futer to sprawiedliwa cena za moje doświadczenie.""",
worker_role_flavor:smelter,on hover infobox description,Sits next to firepit to take out bricks.,坐在火坑旁取出砖块。,Il s’assoit près du feu pour en sortir quelques briques.,Senta-se perto da fogueira para remover blocos de ferro.,Siedzi obok kominów i wyciąga cegły.,
worker_role_flavor:stone_miner,on hover infobox description,"One rock, two rocks, here we go.",一块石头，两块石头，我们开始吧。,Oh hisse ! Oh hisse !,"Uma pedra, duas pedras, e lá vamos nós.","Kamień, drugi, trzeci... I tak dalej.",
worker_role_flavor:swordsman,on hover infobox description,Will fight against The Darkness for you.,将为你对抗黑暗。,Ils combattront les Ténèbres pour vous.,Lutará contra A Escuridão por você., Stawią czoła ciemności wraz z tobą.,
worker_role_flavor:swordsmith,on hover infobox description,Yes we use fur as a currency.,是的，我们使用皮毛作为货币。,"Oui, nous acceptons les fourrures en paiement.",Sim nós usamos pele como moeda.,"Tak, my też bierzemy żołd w futrach.",
worker_role_flavor:tailor,[DEPRECATED],"Knits rope out of fiber, one piece at a time.",一次编织一根纤维绳。,"Il tisse des cordes à base de fibre, longueur après longueur.",,,
worker_role_flavor:tanner,on hover infobox description,Knows how to skin an animal if you pay in fur.,知道如何给动物剥皮，需支付皮毛。,"Il sait dépecer un animal, tant est qu’on le paye en fourrure.",Sabe como esfolar um animal se você pagar em peles.,"Oskóruje zwierzynę, jeśli ino zapłacisz w futrach.",
worker_role_flavor:torch_man,on hover infobox description,Will prepare supplies for miners and explorers.,将为矿工和探险者准备必需品。,Il prépare les provisions des mineurs et des explorateurs.,Preparará suprimentos para mineradores e exploradores.,Przygotowuje zasoby dla odkrywców i górników.,
worker_role_flavor:wanderer,[EMPTY],,,,,,
worker_role_flavor:worker,on hover infobox description,Scavenge and gather food wherever they can.,到处搜寻和收集食物。,Récoltent et cultivent de la nourriture par tous les moyens.,Vasculham e coletam alimentos onde for possível.,Zbierają jedzenie wszędzie gdzie się da.,
tab_data_titles:world,"names for village (in-game tab), sorted by size","["" Wilderness "", "" Forest Hovel "", "" Forest Camp "", "" Forest Hamlet "", "" Forest Village "", "" Forest Town "", "" Forest City "", "" Forest Capital "", "" Forest Metropolis "", "" Forest Megalopolis "", "" Forest Kingdom "", "" Forest Empire "", "" Forest Imperium ""]","["" 荒野 "", "" 森林小屋 "", "" 森林营地 "", "" 森林村落 "", "" 森林村庄 "", "" 森林城镇 "", "" 森林城市 "", "" 森林首都 "", "" 森林大都会 "", "" 森林特大城市 "", "" 森林王国 "", "" 森林帝国 "", "" 森林统治 ""]","["" Étendues sauvages "", "" Bivouac forestier "", "" Camps de la Forêt "", "" Hameau Sylvestre "", "" Village Sylvestre "", "" Bourg Sylvestre "", "" Ville Sylvestre "", "" Capitale Sylvestre "", "" Métropole Sylvestre "", "" Mégalopole Sylvestre "", "" Royaume Sylvestre "", "" Empire Sylvestre "", "" Impérium Sylvestre ""]","["" Selva "", "" Cabana na Floresta "", "" Acampamento na Floresta "", "" Aldeia na Floresta "", "" Vila Florestal "", "" Cidade Florestal "", "" Município Florestal "", "" Capital Florestal "", "" Metrópole Florestal "", "" Megalópole Florestal "", "" Reino Florestal "", "" Domínio Florestal "", "" Império Florestal ""]","["" Dzicz "", "" Leśna Rudera "", "" Leśne Obozowisko "", "" Leśny Przysiołek "", "" Wioska Lasu "", "" Gmina Lasu "", "" Miasto Lasu "", "" Stolica Lasu "", "" Metropolis Lasu "", "" Megalopolis Lasu "", "" Królestwo Lasu "", "" Cesarstwo Lasu "", "" Imperium Lasu ""]",
tab_data_titles:manager,in-game tab title,"["" Population ""]","["" 人口 ""]","["" Population ""]","["" População ""]","["" Populacja ""]",
tab_data_titles:enemy,in-game tab title,"["" Darkness ""]","["" 黑暗 ""]","["" Ténèbres ""]","["" Escuridão ""]","["" Mrok ""]",
tab_data_titles:unknown,in-game tab title,"["" Unknown ""]","["" 未知 ""]","["" Mystère ""]","["" Desconhecido ""]","["" Nieznane ""]",
tab_data_titles:soul,in-game tab title,"["" Substance ""]","["" 灵魂 ""]","["" Substances ""]","["" Substância ""]","["" Substancje ""]",
tab_data_titles:starway,in-game tab title,"["" ??? "", "" Heart ""]","["" ??? "", "" 心脏 ""]","["" ??? "", "" Cœur ""]","["" ??? "", "" Coração ""]","["" ??? "", "" Serce ""]",
tab_data_titles:settings,in-game tab title (options shortcut),"["" @ ""]","["" 设置 ""]","["" @ ""]","["" @ ""]","["" @ ""]",
tab_data_titles:substance,in-game tab title,"["" Substance ""]","["" 物质 ""]","["" Substances ""]","["" Substância ""]","["" Substancje ""]",
event_data_text:automation,diary entry text,"Today, we herald the dawn of a new era... the age of automation!",我们宣布，今天将是一个新时代的开始...自动化时代正式诞生！,"En ce jour, nous saluons l’avènement d’une ère nouvelle... L’ère de l’automatisation !","Hoje, anunciamos o início de uma nova era... a era da automação!",Dziś nastaje dzień nowej ery... Wieku automacji!,
event_data_text:cat_gift,diary entry text,"The frail cat wrought havoc in the storage. Somehow, after cleanup, we had a surplus of raw resources... twice as much.",那只纤弱的猫在储藏室制造了一场大混乱。不知怎的，清理后我们的原材料多了一倍。,"Le chat chétif a semé la pagaille dans les réserves. Après avoir rangé, nous nous sommes rendu compte que nous avions un surplus de ressources bruts... Deux fois plus.","O gato tão frágil andou causando estragos no depósito. E ainda assim, depois da limpeza, nós tivemos um excedente de recursos brutos... o dobro.","Wątłe kocisko wzniosło zamęt w magazynie. Posprzątawszy wszystko odkryliśmy, że jakimś cudem podwoiły się nasze zasoby.",
event_data_text:cat_no_gift,diary entry text,The cat's offer seemed too suspicious. I dread to imagine what might have happened had I accepted.,猫的提议太可疑了。不敢想象如果接受，会发生什么。,L’offre du chat semblait trop belle pour être vraie. Je n’ose pas imaginer ce qui se serait passé si j’avais accepté.,A oferta do gato parecia muito suspeita. Tenho medo de imaginar o que teria acontecido se eu tivesse aceitado.,"Oferta kociska zdawała się zbyt podejrzana. Drżę na myśli o tym, co by się stało, gdyby się na nią zgodzić.",
event_data_text:cat_intro_no,diary entry text,Though this twisted forest is all I know; I dare to call it home? Am I deceiving myself? The cat meows mockingly at my response.,我只知道这扭曲的森林，我敢称它为家吗？我是在自欺欺人吗？猫喵了一声，嘲笑我的回答。,"Bien que cette forêt torturée soit tout ce que je connais, oserais-je la considérer comme mon foyer ? Est-ce que je me berce d’illusions ? Le chat miaule d’un ton moqueur à ma réponse.",Embora essa floresta torta seja tudo que eu conheço; me atrevo chamá-la de casa? Será que estou me enganando? O gato mia de forma debochada á minha resposta.,"Ten przeklęty las to wszystko co mi znane; mimo to śmiem się zwać go domem. Może kłamię nieświadomie? Kocisko miałczy z wyższością, szydząc ze mnie.",
event_data_text:cat_intro_yes,diary entry text,I must admit that I am lost. The cat grinned before returning to its monotone face.,我必须承认我迷路了。猫咧嘴一笑，然后恢复了单调的面孔。,Je dois reconnaitre que je suis perdu. Le chat esquissa un sourire avant de reprendre son expression monotone.,Tenho que admitir que estou perdido. O gato sorriu antes de voltar á sua expressão monótona.,"Muszę przyznać: nie wiem, gdzie jestem. Kocisko szczerzy swe kły w półuśmiechu. Po chwili powraca monotonny wyraz pyska.",
event_data_text:cat_scam,diary entry text,Did that creature fool me? I-I'm speechless. Perhaps trust is a fickle resource.,那只猫是不是骗了我？我...我说不出话来。信任的确捉摸不透。,Cette créature m’aurait-elle joué un tour ? Je-Je suis sans voix. Peut-être que la confiance est une ressource fugace.,Aquela criatura me enganou? E-eu estou sem palavras. Talvez confiança seja um recurso instável.,Czyżby kreatura mnie oszukała? B-brak mi słów. Zaufanie zaprawdę jest najrzadszym z metali.,
event_data_text:cat_watching,diary entry text,A cat-like thing lurks in the shadows. It brings me great unease to gaze upon it.,有个像猫一样的东西潜伏在阴影中。它的存在让我感到极度不安。,Une créature à l’allure féline est tapie dans l’ombre. La contempler m’emplit de malaise.,Algo como um gato caminha pelas sombras. Me traz um desconforto quando o encaro.,Coś zbliżonego do kota plącze się wśród cieni. Samo spoglądanie na to coś rodzi niepokój w mym sercu.,
event_data_text:enemy_screen,diary entry text,Suspicious eyes emerge from the darkness. Their stare brings fear to my people.,黑暗中出现了可疑的眼睛。它的凝视让我的属民感到恐惧。,Des yeux inquiétants émergent de l’obscurité. Leur présence sème la peur au sein de mon peuple.,Olhos suspeitos surgem da escuridão. Seu olhar traz medo ao meu povo.,Podejrzliwe oczy wyłaniają się z mroku. Ich spojrzenia podążają za mym ludem.,
event_data_text:firepit_worker,diary entry text,"I met a quaint stranger, who found solace in my company. Together, we lit the fire. Its blaze revealed his faceless features, as he offered work for shelter.",我遇到了一个古怪的陌生人，他在我的陪伴中找到了慰藉。我们一起点燃了火堆。火光点亮了他没有五官的面孔，他想要为我工作，换取庇护。,"J’ai croisé la route d’un étrange inconnu, qui a vu en ma compagnie le réconfort qui lui manquait. Ensemble, nous avons allumé un feu. Sa lueur révéla le visage lisse de l'inconnu, qui m’offrit sa main d’œuvre en échange d’un abri.","Conheci um estranho esquisito, que encontrou consolo na minha companhia. Juntos, nós acendemos o fogo. As chamas revelaram suas feições sem rosto, enquanto ele oferecia trabalho em troca de abrigo.","Na drodze wpadł na mnie przedziwny nieznajomy, który uznał me towarzystwo za powód do radości. Razem wznieśliśmy ogień. Płomienie objawiły jego beztwarzą twarz, bez oczu, uszu, nosa, czy też ust. Powiedział, iż gotów jest pracować w zamian za dach nad głową.",
event_data_text:gift_flint_fiber,diary entry text,"Stumbled upon a long extinguished campfire. A remanent of life, which inspires hope. The debris contained: {0} fiber, {1} flint, {2} wood and {3} stone.",发现一堆早已熄灭的营火。生命痕迹的残余激发了希望。碎片中包含：{0} 纤维，{1} 燧石，{2} 木头和 {3} 石头。,"Je suis tombé sur un feu de camp depuis longtemps éteint. Un vestige de vie qui inspire l’espoir. Les débris contenaient : {0} fibres, {1} silex, {2} bois et {3} pierres.","Me deparei com uma fogueira apagada há muito tempo. Um vestígio de vida, que inspira esperança. Os destroços continham: {0} fibra, {1} sílex, {2} madeira e {3} pedra.","Moi ludzie natknęli się na dawno wygaszone obozowisko. Pozostałość po dawnym życiu wzbudziła nadzieję! Zabraliśmy stamtąd: {0} sztuki włókien, {1} sztuk krzemienia, {2} sztuk drewna oraz {3} sztuk kamienia.",
event_data_text:house_1,diary entry text,Lost people emerge from the forest. They will work in exchange for a place to sleep.,迷失的人们从森林中出现。他们将为我工作，换取睡觉的地方。,Des êtres perdus émergent de la forêt. Ils travailleront en échange d’un toit.,Pessoas perdidas surgem da floresta. Eles trabalharão em troca de um lugar para dormir.,Zagubieni ludzie wychodzą spomiędzy drzew. Będą pracować w zamian za nocleg.,
event_data_text:house_100,diary entry text,"Life flourishes even in absolute darkness as the number of people grows. Children laugh and frolic, while the forest listens in.",即使在绝对黑暗中，我们的人数也在增长，生活欣欣向荣。孩子们欢笑嬉戏，而森林在暗中聆听。,"La vie s’épanouit même dans les endroits les plus sombres, à mesure que la population s’agrandit. Les enfants rient et papillonnent, pendant que la forêt tend l’oreille.","A vida prospera mesmo na escuridão absoluta á medida que o número de pessoas aumenta. Crianças riem e se divertem, enquanto a floresta escuta.","Życie tętni bogato nawet wśród zupełnego mroku, podczas gdy mój lud się rozrasta. Dzieci bawią się i śmieją, a las słucha ich uważnie.",
event_data_text:house_25,diary entry text,This forest hamlet is far superior to our paltry camp.,这座森林村落远比我们那可怜的营地要好。,Ce hameau sylvestre est bien supérieur à notre camp miteux.,Essa aldeia na floresta é mais superior do que o nosso acampamento insignificante.,Leśna Rudera jest czymś dużo lepszym od poprzedniego obozowiska.,
event_data_text:house_4,diary entry text,"I've left my mark deep within these trees, carving out a civilization. The brisk forest camp is getting more lively by the day.",我在这些树木中留下了印记，雕刻出一个文明聚落。活泼的森林营地一天比一天热闹。,"J’ai laissé une marque indélébile au cœur de ses bois, en y façonnant une civilisation. Jour après jour, le petit camp forestier s’anime un peu plus.","Deixei minha marca nas profundezas dessa floresta, construindo uma civilização. Esse acampamento na floresta está ficando mais vivo, dia após dia.",Drzewa teraz noszą me znamię; ta kraina staje się moja. Moją cywilizacją. Leśne Obozowisko tętni coraz większym życiem.,
event_data_text:house_capital,diary entry text,I declare this settlement the capital of the forest. Grow beyond this pestilent place and carve our name into this world.,我宣布这个定居点为森林的首都。向这片诅咒之地外发展，把我们的名字刻入这个世界。,Je proclame ce domaine la Capitale Sylvestre. Qu’elle s’étende au-delà de cet endroit pestilentiel et laisse notre marque sur ce monde.,Eu declaro este assentamento a capital da floresta. Cresça além desse lugar pestilento e carve o nosso nome nesse mundo.,Ogłaszam uroczyście te ziemie stolicą lasu! Niechaj nasze gałęzie sięgną poza to przeklęte miejsce. Niechaj świat pozna nasze imię.,
event_data_text:house_city,diary entry text,"My town has expanded faster than I would have imagined, I might need help in managing all this.",城镇扩张得比我想象的要快，我可能需要帮助来管理这一切。,Mon village s’est développé bien plus vite que je ne l’aurais imaginé. Je risque d’avoir besoin d’aide pour gérer tout ça.,"Minha cidade tem crescido mais rápido do que imaginei, talvez eu precise de ajuda no gerenciamento de tudo isso.",Miasto rozwija się szybciej niż ktokolwiek by pomyślał. Może czas szukać wsparcia?,
event_data_text:house_empire,diary entry text,People of the forest have bestowed me the title of their emperor. Things shall only continue to expand henceforth.,森林的人民赋予了我皇帝称号。我的聚落只会继续扩张。,Le peuple de la forêt m’a couronné empereur. Notre expansion n’a désormais plus de limite.,O povo da floresta me concedeu o título de seu imperador. As coisas só continuarão a se expandir daqui pra frente.,Lud lasu uroczyście namaścił mnie ich cesarzem. Począwszy od teraz będzie jedynie lepiej.,
event_data_text:house_imperium,diary entry text,"Today, I reflect upon the immense responsibility bestowed upon me by tens of billions, as the Emperor of the Forest Imperium.",今天，我将作为森林帝国的皇帝，思考了数十亿人赋予我的巨大责任。,"Aujourd’hui, je contemple l’immense responsabilité que m’ont confiée des dizaines de milliards d’âmes, en tant qu’Empereur de l’Impérium Sylvestre.","Hoje, eu reflito sobre a imensa responsabilidade que me foi concedida por dezenas de bilhões, como imperador do Império Florestal.","Dziś przed wami wszystkimi zatracam się w wielkim ciężarze odpowiedzialności, jaką mnie namaszczyliście. Jako imperator Leśnego Imperium, sprawuje władzę nad dziesiątkami miliardów.",
event_data_text:house_kingdom,diary entry text,"I declare myself the king of these vast lands. Absolute power corrupts absolutely, they say?",我宣布，我将成为这片广阔土地的国王。人们都说，绝对权力会导致绝对腐败？,"Je me proclame roi de ses terres. Comme le dit l’adage, le pouvoir absolu corrompt absolument.","Eu me declaro o rei destas vastas terras. O poder absoluto corrompe absolutamente, como dizem.",Jestem królem! Wszystkich tych nieskończonych ziem! Że niby zupełna moc zupełnie spacza serce człowiecze? Jeszcze czego!,
event_data_text:house_megalopolis,diary entry text,"Born from the womb of the void itself, a megalopolis has formed. It shall only grow basking in my golden light.",从虚空的子宫中诞生，一个巨大都市已经形成。它将在我金色的光芒中继续成长。,"Née des entrailles même du néant, une mégalopole a pris forme. Elle prospèrera sans fin, bercée par ma lumière dorée.","Nascida do ventre do vazio, uma megalópole se forma. Ela só crescerá, banhada pela minha luz dourada.","Zrodzona z lędźwi pustki, powstała tutaj megalopolis. Opatulona światłem mych rządów, będzie się rozrastać jedynie dalej.",
event_data_text:house_metropolis,diary entry text,Millions of people... faceless humanoids... stand beside me. A red carpet guiding me into oblivion...,数百万人...无面的类人...站在我身边。一条红毯引领我走向湮灭...,Des millions d’individus... des humains sans visage... se tiennent à mes cotés. Un tapis rouge me guidant vers l’oubli...,Milhões de pessoas...humanoides sem rosto... estão ao meu lado. Um tapete vermelho me guiando para o abismo...,Miliony mych ludzi... Beztwarzowych humanoidów... Stoją po mych bokach. Czerwono-złoty dywan prowadzi mnie prosto w otchłań...,
event_data_text:house_town,diary entry text,My people pray and bow as I stroll through the streets. This can't be right?,我的人民在我穿过街道时祈祷和鞠躬。这一定是幻觉？,Mon peuple prie est se prosterne lorsque je marche dans les rues. Est-ce vraiment normal ?,Meu povo reza e se curva enquanto eu passeio pelas ruas. Isso não pode estar certo?,"Mój lud modli się i kłania przede mną, gdy podążam krętymi uliczkami stolicy. Coś... Jest tu nie tak?",
